,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price_lakhs,Status,Transaction,Type,Per_Sqft
0,800.0,3,2.0,Semi-Furnished,Rohini Sector 25,1.0,65.0,Ready_to_move,New_Property,Builder_Floor,
2,950.0,2,2.0,Furnished,Rohini Sector 13,1.0,155.0,Ready_to_move,Resale,Apartment,6667.0
3,600.0,2,2.0,Semi-Furnished,Rohini Sector 24,1.0,42.0,Ready_to_move,Resale,Builder_Floor,6667.0
5,1300.0,4,3.0,Semi-Furnished,Rohini Sector 24,1.0,155.0,Ready_to_move,New_Property,Builder_Floor,6667.0
6,1350.0,4,3.0,Semi-Furnished,Rohini Sector 24,1.0,100.0,Ready_to_move,Resale,Builder_Floor,6667.0
7,650.0,2,2.0,Semi-Furnished,Rohini Sector 24,1.0,40.0,Ready_to_move,New_Property,Apartment,6154.0
8,985.0,3,3.0,Unfurnished,Rohini Sector 21,1.0,68.0,Almost_ready,New_Property,Builder_Floor,6154.0
9,1300.0,4,4.0,Semi-Furnished,Rohini Sector 22,1.0,150.0,Ready_to_move,New_Property,Builder_Floor,6154.0
10,1100.0,3,2.0,Semi-Furnished,Rohini Sector 20,1.0,62.0,Ready_to_move,New_Property,Builder_Floor,6154.0
11,870.0,3,2.0,Semi-Furnished,Rohini Sector 25,1.0,77.0,Ready_to_move,New_Property,Builder_Floor,6154.0
12,630.0,2,2.0,Semi-Furnished,Rohini Sector 24,1.0,55.0,Ready_to_move,New_Property,Builder_Floor,6154.0
13,660.0,2,2.0,Semi-Furnished,Rohini Sector 24,1.0,50.0,Ready_to_move,Resale,Builder_Floor,6154.0
16,550.0,2,2.0,Semi-Furnished,Rohini Sector 22,1.0,45.0,Ready_to_move,New_Property,Builder_Floor,6154.0
17,1100.0,4,3.0,Semi-Furnished,Rohini Sector 16,1.0,170.0,Ready_to_move,New_Property,Builder_Floor,6154.0
18,1150.0,3,3.0,Semi-Furnished,Rohini Sector 14,1.0,250.0,Ready_to_move,Resale,Apartment,6154.0
19,650.0,2,2.0,Semi-Furnished,Rohini Sector 24,1.0,60.0,Ready_to_move,Resale,Builder_Floor,6154.0
20,850.0,2,2.0,Semi-Furnished,Rohini Sector 9,1.0,110.0,Ready_to_move,Resale,Apartment,6154.0
21,900.0,3,2.0,Semi-Furnished,Rohini,5.0,45.0,Ready_to_move,Resale,Builder_Floor,6154.0
23,900.0,2,2.0,Semi-Furnished,Rohini,1.0,105.0,Ready_to_move,Resale,Apartment,6154.0
24,914.9315,2,2.0,Semi-Furnished,Rohini Sector 5,1.0,120.0,Ready_to_move,Resale,Builder_Floor,6154.0
25,1100.0,3,3.0,Furnished,Rohini Sector 20,1.0,70.0,Ready_to_move,New_Property,Builder_Floor,6364.0
26,800.0,3,2.0,Semi-Furnished,Rohini Sector 25,1.0,70.0,Ready_to_move,Resale,Builder_Floor,8750.0
27,500.0,1,1.0,Semi-Furnished,Rohini Sector 28,1.0,34.0,Ready_to_move,Resale,Apartment,8750.0
28,28.0,2,2.0,Furnished,Rohini Sector 25,1.0,50.0,Ready_to_move,New_Property,Apartment,8750.0
29,2160.0,4,4.0,Furnished,Rohini Sector 19,1.0,210.0,Ready_to_move,New_Property,Builder_Floor,9722.0
30,1500.0,1,,Unfurnished,Lajpat Nagar 2,,135.0,Ready_to_move,Resale,Apartment,
31,800.0,2,2.0,Unfurnished,Lajpat Nagar 1,1.0,150.0,Ready_to_move,New_Property,Builder_Floor,
32,900.0,2,2.0,Unfurnished,Lajpat Nagar,1.0,105.0,Ready_to_move,New_Property,Builder_Floor,
33,1080.0,3,2.0,Semi-Furnished,Lajpat Nagar,1.0,225.0,Ready_to_move,New_Property,Builder_Floor,
34,750.0,2,2.0,Unfurnished,Lajpat Nagar 4,1.0,136.0,Ready_to_move,New_Property,Builder_Floor,
35,1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,300.0,Ready_to_move,New_Property,Builder_Floor,
36,900.0,2,2.0,Semi-Furnished,Lajpat Nagar,1.0,135.0,Ready_to_move,New_Property,Apartment,
38,1350.0,3,4.0,Unfurnished,Lajpat Nagar,1.0,250.0,Ready_to_move,Resale,Apartment,
